,Country Code,country,Region,date,land_area,human_capital_index,population,population_density,rural_population,Agricultural_land,forest_area,avg_precipitation,GDP_current_US,expense,military_expenditure,government_expenditure_on_education,government_health_expenditure,research_and_development_expenditure,tax_revenue,trade_in_services,central_goverment_debt,human_capital_index,control_of_corruption_estimate,renewvable_energy_consumption%,electric_power_consumption,Not_getting_Electricity,CO2_emisions,other_greenhouse_emisions,multidimensional_poverty_headcount_ratio%,inflation_annual%,real_interest_rate,risk_premium_on_lending,birth_rate,death_rate,life_expectancy_at_birth,goverment_effectiveness_estimate,doing_business,statistical_performance_indicators,individuals_using_internet,political_stability_estimate,rule_of_law_estimate,gini_index,voice_and_accountability_estimate,intentional_homicides
685,AUS,Australia,East Asia & Pacific,01 January 2015,7682300.0,,23815995.0,3.100112596,3405449.0,3481190.0,1330945.0,534.0,1350580000000.0,361654474456.81,26348714402.01,71794668725.15,97701861548.37,25942345962.56,295546728282.34,118549856311.13,628109700895.45,,1.879955173,9.32,,0.0,385782.4,622092.6414,,1.508366722,6.206221935,,12.9,6.6,82.4,1.560223341,,,20138928.0,0.884979844,1.818711042,,1.355610847,0.990754227
690,AUS,Australia,East Asia & Pacific,01 January 2020,7692020.0,0.770239532,25655289.0,3.335312311,3529911.0,3557750.0,1340051.0,534.0,1326940000000.0,401912183515.4,26695223482.25,80943338739.41,106103866264.55,,300047014106.98,88647306271.85,920874322843.95,0.770239532,1.662498713,10.89,,0.0,378996.8,571903.1199,,0.846905537,,,11.5,6.3,83.2,1.610074997,,,24730279.06,0.850844324,1.642625451,,1.303583741,0.860925459
733,AUT,Austria,Europe & Central Asia,01 January 2000,82520.0,,8011566.0,97.08635482,3187562.0,29402.0,38381.4,1110.0,197290000000.0,91273828213.28,1934070526.48,11026163183.89,13466595310.4,3720928749.49,51739460095.25,,127725116381.3,,1.751058698,26.43,7076.269483,0.0,63538.6,78694.10972,,2.344862854,,,9.8,9.6,78.12682927,1.847265244,,,2702311.86,0.822056413,1.81233263,29.0,1.317559481,1.023665588
738,AUT,Austria,Europe & Central Asia,01 January 2005,82520.0,,8227829.0,99.70708919,3388796.0,28568.0,38506.7,1110.0,316092000000.0,145125356143.62,2687232665.01,16592838930.17,22108104388.14,7501621761.83,80647572092.62,80722054178.17,234874809229.7,,1.912423491,24.41,7977.681597,0.0,76242.4,90356.77091,,2.299137856,,,9.5,9.1,79.33170732,1.679051638,,,4772140.82,1.103950024,1.847249508,28.7,1.378656507,0.656372597
743,AUT,Austria,Europe & Central Asia,01 January 2010,82520.0,0.737782121,8363404.0,101.3500242,3562894.0,27792.0,38632.0,1110.0,392275000000.0,182120767789.9,3221490621.0,22361557857.24,29026696835.47,10693808649.47,99173535696.85,91472529643.92,336518089975.63,0.737782121,1.596122026,31.15,8382.711154,0.0,69965.1,83550.95772,18.9,1.81353439,,,9.4,9.2,80.5804878,1.812320471,,,6286770.79,1.152648211,1.801202655,30.3,1.430290699,0.729418239
748,AUT,Austria,Europe & Central Asia,01 January 2015,82520.0,,8642699.0,104.7345977,3654565.0,27184.5,38811.9,1110.0,381971000000.0,176732064969.21,2666685280.58,20842553810.59,28693100862.97,11648931420.46,102468179955.85,106779918603.85,363194321224.49,,1.508799553,34.82,,0.0,63254.7,76429.62374,18.3,0.896563335,,,9.8,9.6,81.1902439,1.477876067,,,7254693.81,1.143079281,1.842692971,30.5,1.383552909,0.509116601
753,AUT,Austria,Europe & Central Asia,01 January 2020,82520.0,0.746739745,8916864.0,108.0570044,3678385.0,26467.6,38991.5,1110.0,435225000000.0,220024554161.74,3625378050.87,22065908248.59,38139349951.5,13932771389.21,106217840840.32,120420624483.39,434656220899.0,0.746739745,1.506872177,35.77,,0.0,59142.4,71017.8287,17.5,1.381910634,,,9.4,10.3,81.19268293,1.645901203,,,7804880.07,0.912809432,1.801011682,29.8,1.398653507,0.729699453
796,AZE,Azerbaijan,Europe & Central Asia,01 January 2000,82605.0,,8048600.0,97.43477998,3912746.0,47404.0,9872.2,447.0,5272617196.0,,119575685.12,203206143.58,45707936.73,17715993.51,,744277000.11,,,-1.292382717,2.07,2040.47909,87873.0,27687.2,38178.85835,,1.805003037,6.367573025,2.923333333,14.5,5.8,64.891,-0.951395214,,,11892.42,-0.829794765,-1.145636201,,-0.90622896,2.759349218
801,AZE,Azerbaijan,Europe & Central Asia,01 January 2005,82660.0,,8391850.0,101.5225018,3995444.0,47586.0,10098.57,447.0,13245421881.0,,304521477.79,394000982.13,121575096.85,29131981.81,,3400260000.23,,,-1.052521467,3.36,2388.388734,73895.0,30043.4,43537.95337,,9.679507319,2.009036409,9.513333333,16.9,6.2,67.562,-0.738662243,,,673897.05,-1.124819398,-0.792612433,26.6,-1.124163508,
806,AZE,Azerbaijan,Europe & Central Asia,01 January 2010,82656.0,0.497457385,9054332.0,109.5423442,4218775.0,47668.0,10324.95,447.0,52909294792.0,11043483677.28,1476700722.9,1471206484.7,534795421.77,115596230.44,6432594067.79,6423099997.48,3378563119.96,0.497457385,-1.245373249,4.45,1603.431374,4739.0,24311.9,44320.75057,,5.726872247,6.3007017,18.87083333,18.3,5.9,69.529,-0.811674297,,,4164992.72,-0.238546923,-0.891145051,,-1.30459702,2.230112418
